"","test_class","pred_class","Prob","X5","X6","X7","X8","X9","result_5","result_6","result_7","result_8","result_9"
"1",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"2",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"3",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"4",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"5",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"6",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"7",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"8",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"9",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"10",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"11",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"12",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"13",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"14",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"15",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"16",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"17",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"18",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"19",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"20",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"21",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"22",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"23",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"24",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"25",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"26",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"27",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"28",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"29",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"30",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"31",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"32",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"33",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"34",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"35",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"36",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"37",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"38",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"39",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"40",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"41",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"42",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"43",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"44",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"45",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"46",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"47",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"48",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"49",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"50",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"51",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"52",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"53",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"54",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"55",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"56",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"57",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"58",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"59",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"60",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"61",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"62",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"63",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"64",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
"65",4,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,"FP","FP","FP","FP","FP"
